PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Brandon Bass,LAL,66,76,14.50%,0.93,71,28,59,47.5,47.5,13.20%,11.80%,10.50%,2.60%,47.40%,34.4
Omer Asik,NOP,68,78,14.40%,0.91,71,29,58,50,50,12.80%,14.10%,7.70%,1.30%,47.40%,39.5
Harrison Barnes,GSW,66,113,18.90%,0.72,81,29,82,35.4,35.4,13.30%,14.20%,12.40%,0.00%,38.10%,82.9
Myles Turner,IND,60,81,13.00%,0.91,74,31,62,50,50,12.30%,13.60%,11.10%,2.50%,46.90%,38.8
Dwight Powell,DAL,69,85,19.50%,0.87,74,27,58,46.6,46.6,16.50%,16.50%,10.60%,1.20%,45.90%,48.5
Julius Randle,LAL,81,98,12.40%,0.76,74,29,74,39.2,39.2,10.20%,14.30%,10.20%,0.00%,38.80%,75.6
Marc Gasol,MEM,52,98,15.20%,0.73,72,31,65,47.7,47.7,8.20%,26.50%,7.10%,1.00%,37.80%,79.1
Jerami Grant,PHI,77,77,10.40%,0.97,75,28,50,56,56,19.50%,16.90%,18.20%,3.90%,51.90%,26
Amir Johnson,BOS,79,97,12.80%,0.79,77,33,76,43.4,43.4,10.30%,14.40%,7.20%,3.10%,39.20%,65.6
Wesley Johnson,LAC,80,68,11.90%,1.09,74,24,40,60,60,26.50%,20.60%,23.50%,5.90%,55.90%,10.7
James Harden,HOU,82,77,7.80%,1.01,78,27,54,50,50,18.20%,11.70%,13.00%,0.00%,51.90%,17.6
Serge Ibaka,OKC,78,80,8.70%,0.95,76,32,69,46.4,46.4,10.00%,5.00%,10.00%,2.50%,47.50%,29.6
Jae Crowder,BOS,73,84,10.10%,0.9,76,33,68,48.5,48.5,14.30%,10.70%,15.50%,7.10%,45.20%,40.7
Derrick Favors,UTA,62,98,12.40%,0.76,74,36,84,42.9,42.9,2.00%,13.30%,2.00%,1.00%,37.80%,75.6
Luol Deng,MIA,74,90,12.20%,0.93,84,33,73,45.2,45.2,12.20%,7.80%,11.10%,1.10%,47.80%,34.9
Jimmy Butler,CHI,67,85,9.80%,0.98,83,37,75,49.3,49.3,8.20%,5.90%,8.20%,2.40%,49.40%,25.8
Rudy Gobert,UTA,61,96,11.30%,0.81,78,32,80,40,40,11.50%,7.30%,9.40%,3.10%,41.70%,62.4
Meyers Leonard,POR,62,85,12.80%,0.93,79,30,63,47.6,47.6,18.80%,12.90%,15.30%,5.90%,47.10%,36.7
Kosta Koufos,SAC,78,112,15.30%,0.84,94,41,94,43.6,43.6,10.70%,9.80%,10.70%,4.50%,42.90%,55.6
Ian Mahinmi,IND,71,108,12.60%,0.76,82,30,81,37,37,14.80%,13.00%,11.10%,2.80%,39.80%,74.5
Enes Kanter,OKC,82,104,14.90%,0.82,85,33,86,38.4,38.4,14.40%,4.80%,11.50%,1.90%,42.30%,61.2
Klay Thompson,GSW,80,87,9.40%,0.97,84,31,68,45.6,45.6,17.20%,8.00%,13.80%,3.40%,49.40%,27
Greg Monroe,MIL,79,126,16.20%,0.67,85,33,93,35.5,35.5,12.70%,14.30%,8.70%,0.80%,37.30%,87.2
Marvin Williams,CHA,81,95,12.00%,0.95,90,37,71,52.1,52.1,12.60%,16.80%,11.60%,4.20%,46.30%,30
JaMychal Green,MEM,78,77,13.90%,1.13,87,24,46,52.2,52.2,33.80%,11.70%,26.00%,5.20%,58.40%,6.4
Ryan Anderson,NOP,66,84,11.00%,1.01,85,34,67,50.7,50.7,14.30%,9.50%,8.30%,3.60%,50.00%,17.9
DeAndre Jordan,LAC,77,130,9.90%,0.65,85,36,104,34.6,34.6,9.20%,11.50%,6.90%,0.80%,33.80%,88.8
Clint Capela,HOU,77,99,16.10%,0.88,87,34,80,42.5,42.5,15.20%,8.10%,12.10%,4.00%,44.40%,45.9
Marcin Gortat,WAS,75,122,10.70%,0.75,91,39,108,36.1,36.1,8.20%,4.90%,6.60%,1.60%,37.70%,77.3
Jared Dudley,WAS,81,115,15.80%,0.86,99,36,84,42.9,42.9,17.40%,13.00%,10.40%,3.50%,44.30%,50.5
Alex Len,PHX,78,114,13.10%,0.86,98,35,84,41.7,41.7,18.40%,10.50%,13.20%,2.60%,44.70%,51
Steven Adams,OKC,80,136,13.90%,0.76,103,39,108,36.1,36.1,13.20%,9.60%,12.50%,2.20%,38.20%,75
Gorgui Dieng,MIN,82,117,12.90%,0.84,98,37,78,47.4,47.4,16.20%,19.70%,11.10%,2.60%,43.60%,55.9
Cody Zeller,CHA,73,144,19.50%,0.79,114,43,110,39.1,39.1,16.00%,9.70%,14.60%,2.10%,43.10%,66.5
Nikola Jokic,DEN,80,138,18.30%,0.81,112,44,99,44.4,44.4,12.30%,16.70%,8.70%,0.70%,42.00%,62.8
Damian Lillard,POR,75,123,11.90%,0.88,108,37,88,42,42,19.50%,12.20%,14.60%,3.30%,45.50%,46.2
Ed Davis,POR,81,113,14.30%,0.96,109,41,88,46.6,46.6,17.70%,8.80%,16.80%,4.40%,48.70%,27.8
Paul Millsap,ATL,81,113,11.30%,0.95,107,45,88,51.1,51.1,12.40%,13.30%,12.40%,3.50%,46.90%,30.6
Pau Gasol,CHI,72,153,14.50%,0.7,107,50,132,37.9,37.9,3.90%,10.50%,2.60%,0.70%,35.90%,84.9
Draymond Green,GSW,81,175,14.40%,0.65,113,43,135,31.9,31.9,9.70%,13.70%,8.60%,0.60%,33.10%,89.3
Kevin Love,CLE,77,130,14.20%,0.86,112,51,110,46.4,46.4,6.20%,10.00%,5.40%,0.80%,44.60%,50
Kristaps Porzingis,NYK,72,104,11.70%,1.06,110,51,93,54.8,54.8,7.70%,6.70%,8.70%,4.80%,51.90%,13.5
Jared Sullinger,BOS,81,149,19.30%,0.79,118,53,126,42.1,42.1,6.00%,10.70%,6.00%,1.30%,39.60%,66.1
Wesley Matthews,DAL,78,102,12.20%,1.11,113,39,73,53.4,53.4,23.50%,10.80%,23.50%,5.90%,55.90%,8.4
Nerlens Noel,PHI,67,124,13.90%,0.99,123,49,88,55.7,55.7,12.90%,17.70%,10.50%,2.40%,50.00%,24.2
Kenneth Faried,DEN,67,107,17.30%,1.06,113,44,78,56.4,56.4,16.80%,13.10%,12.10%,2.80%,55.10%,14
Anthony Davis,NOP,61,132,14.70%,0.86,114,45,104,43.3,43.3,10.60%,11.40%,9.10%,0.80%,43.20%,49.4
Robin Lopez,NYK,82,153,14.30%,0.77,118,52,131,39.7,39.7,8.50%,7.80%,8.50%,2.60%,38.60%,71.9
Jordan Hill,IND,73,132,18.70%,0.94,124,48,98,49,49,15.20%,10.60%,15.20%,0.80%,50.00%,32.5
Nikola Vucevic,ORL,65,162,18.70%,0.84,136,52,129,40.3,40.3,12.30%,9.90%,10.50%,1.90%,42.00%,55.4
Zaza Pachulia,DAL,76,169,19.30%,0.8,135,55,131,42,42,8.30%,14.20%,6.50%,0.00%,40.80%,65.1
Brook Lopez,BKN,74,164,16.70%,0.77,127,55,137,40.1,40.1,7.90%,11.00%,6.10%,2.40%,38.40%,70.7
Thaddeus Young,BKN,73,125,14.50%,1.04,130,57,97,58.8,58.8,8.80%,16.00%,5.60%,2.40%,52.00%,14.6
Tristan Thompson,CLE,82,150,15.00%,0.89,134,57,126,45.2,45.2,10.70%,8.00%,8.00%,2.70%,44.70%,43.1
