PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Wesley Matthews,DAL,78,69,8.30%,1,69,27,57,47.4,52.6,8.70%,10.10%,4.30%,1.40%,46.40%,24.5
Garrett Temple,WAS,80,66,8.70%,0.95,63,20,53,37.7,42.5,18.20%,4.50%,13.60%,3.00%,43.90%,33.3
Rodney Hood,UTA,80,77,10.60%,0.88,68,25,62,40.3,48.4,9.10%,11.70%,9.10%,1.30%,40.30%,47.8
Langston Galloway,NYK,82,79,10.10%,0.8,63,27,68,39.7,41.2,6.30%,11.40%,6.30%,3.80%,36.70%,62.7
Dion Waiters,OKC,78,68,9.60%,0.94,64,28,57,49.1,52.6,2.90%,13.20%,2.90%,0.00%,44.10%,35.1
Kemba Walker,CHA,81,70,6.40%,0.94,66,24,58,41.4,47.4,7.10%,10.00%,4.30%,0.00%,41.40%,34.8
Russell Westbrook,OKC,80,79,9.40%,0.81,64,25,65,38.5,44.6,3.80%,13.90%,2.50%,0.00%,35.40%,59.1
Zach LaVine,MIN,82,72,8.80%,0.94,68,28,67,41.8,48.5,2.80%,5.60%,2.80%,1.40%,40.30%,34.4
Stephen Curry,GSW,79,82,8.10%,0.79,65,24,71,33.8,40.8,6.10%,7.30%,6.10%,0.00%,34.10%,63.8
Jrue Holiday,NOP,65,61,7.60%,1.08,66,27,53,50.9,58.5,3.30%,9.80%,1.60%,0.00%,47.50%,16.7
Matt Barnes,MEM,76,71,9.10%,0.96,68,24,55,43.6,53.6,7.00%,15.50%,4.20%,0.00%,40.80%,33
Andrew Wiggins,MIN,81,77,7.90%,0.94,72,25,66,37.9,44.7,11.70%,6.50%,9.10%,3.90%,40.30%,36.2
Damian Lillard,POR,75,75,7.30%,0.93,70,27,68,39.7,47.8,4.00%,5.30%,2.70%,0.00%,40.00%,36.9
Jimmy Butler,CHI,67,71,8.20%,1.07,76,24,57,42.1,54.4,12.70%,9.90%,12.70%,2.80%,43.70%,17
Klay Thompson,GSW,80,82,8.90%,0.9,74,29,68,42.6,45.6,7.30%,11.00%,7.30%,1.20%,41.50%,43.8
Monta Ellis,IND,81,83,9.20%,0.89,74,28,68,41.2,45.6,9.60%,8.40%,8.40%,0.00%,43.40%,47.1
Kyle Lowry,TOR,77,84,9.60%,0.88,74,26,65,40,45.4,11.90%,13.10%,8.30%,2.40%,40.50%,48.6
Allen Crabbe,POR,81,69,9.80%,1.09,75,23,52,44.2,51.9,21.70%,7.20%,17.40%,4.30%,49.30%,16.3
Avery Bradley,BOS,76,73,8.70%,1.04,76,28,55,50.9,60,8.20%,17.80%,4.10%,1.40%,45.20%,19.6
George Hill,IND,74,86,8.50%,0.98,84,35,71,49.3,54.9,5.80%,11.60%,5.80%,1.20%,45.30%,30.4
Jordan Clarkson,LAL,79,96,10.10%,0.89,85,34,81,42,46.3,5.20%,10.40%,4.20%,0.00%,40.60%,47.5
Nicolas Batum,CHA,70,80,11.30%,1.14,91,37,69,53.6,60.9,7.50%,8.80%,6.30%,2.50%,51.30%,10.5
Kentavious Caldwell-Pope,DET,76,115,11.30%,0.83,96,36,98,36.7,39.3,7.80%,8.70%,7.80%,1.70%,37.40%,54
John Wall,WAS,77,98,10.20%,1.02,100,36,82,43.9,54.3,6.10%,11.20%,6.10%,1.00%,41.80%,22.1
CJ McCollum,POR,80,119,12.80%,0.92,110,42,99,42.4,48,6.70%,10.10%,6.70%,0.00%,42.00%,38.4
