PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,PERCENTILE
Brandon Rush,GSW,72,55,16.30%,0.82,45,15,44,34.1,37.5,12.70%,9.10%,12.70%,1.80%,38.20%,56.9
Paul Pierce,LAC,68,56,15.00%,0.73,41,15,47,31.9,34,8.90%,8.90%,8.90%,1.80%,33.90%,73.9
Darren Collison,SAC,74,56,7.20%,0.66,37,11,37,29.7,33.8,12.50%,21.40%,8.90%,0.00%,32.10%,87.2
Dwight Powell,DAL,69,57,13.00%,0.65,37,15,50,30,31,8.80%,7.00%,8.80%,3.50%,31.60%,88
Danny Green,SAS,79,47,6.80%,0.91,43,17,40,42.5,45,10.60%,6.40%,10.60%,2.10%,44.70%,34.3
Bismack Biyombo,TOR,82,53,6.60%,0.75,40,17,50,34,34,13.20%,0.00%,13.20%,7.50%,37.70%,69.7
Jeremy Lin,CHA,78,53,7.60%,0.72,38,14,40,35,35,11.30%,13.20%,11.30%,0.00%,35.80%,78.2
Victor Oladipo,ORL,72,52,6.30%,0.73,38,13,32,40.6,40.6,15.40%,23.10%,11.50%,0.00%,40.40%,74.4
Raymond Felton,DAL,80,59,9.00%,0.71,42,15,47,31.9,31.9,13.60%,6.80%,13.60%,0.00%,37.30%,78.9
Kawhi Leonard,SAS,72,61,8.00%,0.69,42,15,50,30,31,9.80%,8.20%,6.60%,0.00%,34.40%,83
Dwight Howard,HOU,71,65,7.60%,0.58,38,16,59,27.1,29.7,3.10%,7.70%,3.10%,1.50%,26.20%,93.7
Luke Babbitt,NOP,47,38,12.80%,1.16,44,18,34,52.9,57.4,13.20%,5.30%,7.90%,7.90%,52.60%,5.8
Terrence Ross,TOR,73,46,7.90%,0.96,44,14,33,42.4,43.9,21.70%,8.70%,19.60%,2.20%,50.00%,27.1
Derrick Williams,NYK,80,51,11.30%,0.8,41,16,47,34,37.2,7.80%,2.00%,7.80%,2.00%,37.30%,59.4
Dion Waiters,OKC,78,61,8.60%,0.77,47,16,50,32,36,14.80%,3.30%,14.80%,0.00%,37.70%,67.2
Matthew Dellavedova,CLE,76,59,7.80%,0.66,39,13,51,25.5,26.5,10.20%,3.40%,6.80%,0.00%,32.20%,87
Pau Gasol,CHI,72,65,6.20%,0.65,42,16,54,29.6,31.5,7.70%,9.20%,6.20%,0.00%,32.30%,88.7
LeBron James,CLE,76,69,10.50%,0.59,41,14,52,26.9,28.8,10.10%,14.50%,10.10%,0.00%,30.40%,92.7
Thabo Sefolosha,ATL,75,74,10.70%,0.53,39,15,62,24.2,26.6,6.80%,10.80%,5.40%,1.40%,25.70%,95.7
Jordan Hill,IND,73,45,6.40%,0.89,40,17,40,42.5,43.8,8.90%,4.40%,8.90%,2.20%,42.20%,39.5
Nik Stauskas,PHI,73,52,9.10%,0.77,40,14,40,35,35,17.30%,13.50%,17.30%,7.70%,36.50%,67.8
Nene Hilario,WAS,57,36,7.00%,1.17,42,16,27,59.3,63,19.40%,8.30%,16.70%,2.80%,61.10%,4.8
Nicolas Batum,CHA,70,46,6.50%,0.89,41,17,43,39.5,39.5,10.90%,2.20%,10.90%,6.50%,41.30%,37.9
Marreese Speights,GSW,72,46,9.50%,0.89,41,16,42,38.1,44,6.50%,4.30%,6.50%,2.20%,39.10%,37.9
Robert Covington,PHI,67,76,13.40%,0.57,43,17,63,27,28.6,7.90%,11.80%,5.30%,2.60%,27.60%,94.7
James Johnson,TOR,57,40,11.60%,1.05,42,18,38,47.4,50,7.50%,2.50%,7.50%,5.00%,47.50%,13.3
Patty Mills,SAS,81,45,7.20%,1.07,48,18,32,56.3,59.4,15.60%,17.80%,11.10%,4.40%,48.90%,11.1
Stanley Johnson,DET,73,50,9.70%,0.88,44,12,36,33.3,34.7,26.00%,6.00%,18.00%,4.00%,46.00%,42.6
Enes Kanter,OKC,82,56,8.00%,0.79,44,17,51,33.3,36.3,10.70%,3.60%,8.90%,5.40%,35.70%,64.3
Clint Capela,HOU,77,62,10.10%,0.84,52,18,50,36,39,11.30%,9.70%,11.30%,1.60%,38.70%,52.6
Tyson Chandler,PHX,66,63,9.70%,0.7,44,15,53,28.3,30.2,12.70%,4.80%,11.10%,1.60%,33.30%,81
Doug McDermott,CHI,81,43,8.60%,1.09,47,18,36,50,52.8,14.00%,9.30%,14.00%,7.00%,48.80%,8.3
Iman Shumpert,CLE,54,40,8.40%,1.08,43,16,35,45.7,55.7,7.50%,7.50%,7.50%,2.50%,45.00%,9.5
J.J. Barea,DAL,74,44,7.10%,0.98,43,17,32,53.1,54.7,13.60%,13.60%,11.40%,0.00%,50.00%,24.1
Ian Mahinmi,IND,71,48,5.60%,0.98,47,16,33,48.5,56.1,20.80%,12.50%,16.70%,2.10%,45.80%,23.6
Jerryd Bayless,MIL,52,44,9.20%,0.98,43,14,29,48.3,51.7,20.50%,18.20%,20.50%,4.50%,47.70%,24.1
Trey Lyles,UTA,80,65,13.50%,0.69,45,18,58,31,32.8,9.20%,3.10%,9.20%,1.50%,35.40%,82.6
PJ Tucker,PHX,82,69,8.50%,0.7,48,14,51,27.5,29.4,18.80%,10.10%,14.50%,2.90%,36.20%,81.7
Marco Belinelli,SAC,68,42,9.40%,1.05,44,14,35,40,47.1,16.70%,2.40%,14.30%,2.40%,47.60%,13.5
Arron Afflalo,NYK,71,44,6.70%,1,44,18,37,48.6,51.4,9.10%,9.10%,6.80%,2.30%,47.70%,18.7
